,alcoholic,cocktail_name,glass,ingredients,ingredients_and_quantities,instructions,cocktail_picture,popular_month_name,visitors,popular_month_no,popular_season_name,alcohol_type_includes,liqueurs_includes
54,Alcoholic,Brigadier,Coupe Glass,"Cherry Heering, Green Chartreuse, Hot Chocolate, ","Cherry Heering - 1 oz, Green Chartreuse - 1 oz, Hot Chocolate - 4 oz,",Mix ingredients in a warmed mug and stir.,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg,,,,,,['liqueurs']
55,Alcoholic,Broadside,Highball glass,"Ice, Wormwood, Bitters, Scotch, 151 Proof Rum,","Ice - cubes, Wormwood - 1 Fresh, Bitters - 3 drops, Scotch - 1/2 shot, 151 proof rum - 1 shot,","Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",https://cdn.diffords.com/contrib/stock-images/2022/04/62502424291d5.jpg,,,,,"['rum', 'whiskey']",
56,Alcoholic,Buccaneer,Beer pilsner,"Bacardi Limon, Corona, ","Bacardi Limon - 1 shot , Corona - 1 ,",Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,https://ttliquor.co.uk/wp-content/uploads/2023/07/TT-Liquor-How-to-make-the-buccaneer-cocktail.jpg,,,,,"['beer', 'rum']",
57,Alcoholic,Brain Fart,Punch bowl,"Rum, Lemon Juice, Surge, Mountain Dew, Vodka, Everclear, ","Rum - 1 pint , Lemon juice - 1 small bottle , Surge - 2 L , Mountain Dew - 2 L , Vodka - 1 fifth Smirnoff red label , Everclear - 1 fifth ,",Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,http://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,,,,,"['rum', 'vodka']",
58,Alcoholic,Blackthorn,Cocktail glass,"Lemon Peel, Sloe Gin, Sweet Vermouth, ","Lemon peel - 1 twist of , Sloe gin - 1 1/2 oz , Sweet Vermouth - 1 oz ,",Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,http://www.thecocktaildb.com/images/media/drink/xvswvy1441209430.jpg,,,,,"['gin', 'wine']",['liqueurs']
59,Alcoholic,Bob Marley,Shot glass,"Goldschlager, Jägermeister, Midori Melon Liqueur, ","Goldschlager - 1/2 oz , Jägermeister - 1/2 oz , Midori melon liqueur - 1/2 oz ,",Layer in a 2 oz shot glass or pony glass,http://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,,,,,['beer'],['liqueurs']
60,Alcoholic,Bible Belt,Highball glass,"Sour Mix, Lime, Triple Sec, Southern Comfort, ","Sour mix - 2 oz , Lime - 2 wedges , Triple sec - 1/2 oz , Southern Comfort - 2 oz ,","Mix all ingredients, and pour over ice.",http://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg,,,,,['beer'],['liqueurs']
61,Alcoholic,Bubble Gum,Shot glass,"Peach Schnapps, Orange Juice, Banana Liqueur, Vodka, ","Peach schnapps - 1/4 , Orange juice - 1/4 , Banana liqueur - 1/4 , Vodka - 1/4 ,",Layer in order into a shot glass.,http://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,,,,,['vodka'],
62,Alcoholic,Bumble Bee,Shot glass,"Sambuca, Kahlua, Baileys Irish Cream, ","Sambuca - 1/3 oz , Kahlua - 1/3 oz , Baileys irish cream - 1/3 oz ,","This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!",https://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,,,,,,['liqueurs']
63,Alcoholic,Baby Eskimo,Collins Glass,"Vanilla Ice-Cream, Milk, Kahlua, ","Vanilla ice-cream - 2 scoops , Milk - 8 oz , Kahlua - 2 oz ,","Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.",http://www.thecocktaildb.com/images/media/drink/wywrtw1472720227.jpg,,,,,,['liqueurs']
64,Alcoholic,Boston Sour,Whiskey sour glass,"Cherry, Lemon, Egg White, Powdered Sugar, Lemon, Blended Whiskey, ","Cherry - 1 , Lemon - 1 slice , Egg white - 1 , Powdered sugar - 1 tsp , Lemon - Juice of 1/2 , Blended whiskey - 2 oz ,","Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",https://www.acouplecooks.com/wp-content/uploads/2020/04/Boston-Sour-001.jpg,,,,,['whiskey'],
65,Alcoholic,Bahama Mama,Highball glass,"Sweet And Sour, Orange Juice, Pineapple Juice, Grenadine, Banana Liqueur, Dark Rum, Rum, ","Sweet and Sour - 1 part, Orange Juice - 2 parts, Pineapple Juice - 2 parts, Grenadine - 1 part, Banana liqueur - 1 part, Dark Rum - 1 part, Rum - 3 parts,","Add 2 parts club soda or more or less to taste.



Mix it all together and pour over a bunch of ice. Drink with a straw.",https://www.shakedrinkrepeat.com/wp-content/uploads/2021/06/Bahama-Mama-3.jpg,,,,,"['beer', 'rum']",
